,ratingscore,reviewdescription,sentiment_score,sentiment_label,Date
12,2,"Battery healthy depleted very fast in the first four weeks. I then had to switch to official Apple charger and cable. Then the battery health stopped deteriorating fast. This shows poor quality either in the battery this seller put in or the charger/cable. I am considering return and full refund since this is offered by Amazon, unless seller responds appropriately to this.",-0.1531,Negative,2023-01-09
13,4,My phone did not arrive on time and was prepared to make a return but so far so good with the phone itself,0.7939,Positive,2023-06-28
14,3,"Lots of nicks on the frame, battery life only at 89%, not what expected.",0.0,Neutral,2023-12-20
15,1,"I bought this item on the premise it would work on T-mobile's network. Alas, when the SIM card was inserted, it was found LOCKED TO VERIZON! Massive fail!",-0.7339,Negative,2023-01-11
16,4,this product was really good.,0.4927,Positive,2023-12-05
17,2,"Not exactly what I expected, it doesn’t have 5g capacity. So, I am stuck with a slow connection for my type of work? Too slow.",-0.3134,Negative,2023-11-25
18,1,The phone wasn’t bad the ear piece was dirty and it’s been “updating” for the past almost 3 hours. Never had this issue transferring a phone before. Praying for human error. If it actually updates and works I’ll change my review.,-0.765,Negative,2023-01-24
19,5,"El celular vino en perfectas condiciones, parecía tal cual nuevo, la batería dura bastante para el uso que se la da.",0.1531,Positive,2023-03-20
20,5,"El sonido del producto es de muy buena calidad exelente diria yo el precio del producto se me hace exelente por lo que ofrece el tamaño del dispositivo es muy bueno y comodo al usar la durabilidad del producto es muy buena y sobre los rayones del dispositivo compre el de perfecto estado y el dispositivo tiene dos rayones super pequeños en la pantalla y un golpe regular en la esquina del dispositivo, el desempeño del dispositivo es perfecto y no se traba nada y es super rapido",0.8807,Positive,2023-06-07
21,4,Works and looks great.  The charger port is funky though.  It works but is very touchy about the connection.I have to check to be sure it’s still charging.,0.6486,Positive,2023-02-09
22,3,This would be a 5 star if customer service followed through. the phone was in perfect condition cosmetically. we had no issues for the first few days. I contacted amazon with charging issues who contacted the seller. The phone needed a battery replacement. I knew this phone had a battery life of 86% . I agreed to taking a small refund and replacing the battery myself as my daughter needed the phone and it was less hassle. I never received my refund. Overall the price was fair my daughter has a phone and it is what it is.,0.765,Positive,2023-08-03
23,5,"This phone came in, excellent condition, and 99% battery health! I would highly recommend this seller!",0.7951,Positive,2023-06-09
24,4,"Display dead after 6 months.I do not recommend this as an optionTook to iPhone store to see about repair, was told was refurbished with non-genuine parts",-0.7514,Negative,2023-03-14
25,2,It was working fine for about a month then recently it started restarting on and off by itself and disabling the WiFi and Bluetooth,-0.3182,Negative,2023-10-17
26,1,"I really like this phone,  but after 3 months calls audio doesn’t work.  I have to use headphones to hear coming calls.  And turning off when it gets over heat👎🏽.  I’m so disappointed",-0.6798,Negative,2023-10-28
27,3,"The battery health on the device I bought is only 71 percent. To say I'm  disappointed would be an understatement. Aesthetically, the phone looks fine.",-0.3182,Negative,2023-11-08
28,3,Phone has been great until I dropped it and it keeps saying “ no sim available”,0.4404,Positive,2023-02-12
29,1,Junk.  Phone was cracked damaged upon receipt.  Return for refund.It’s been over a month,-0.4404,Negative,2023-09-06
30,1,I dislike the product it did not work properly and I was asked to return the product first before they would replace it  now how does that work I encourage everyone not to shop with this merchant,0.1779,Positive,2023-10-07
31,4,"Phone like new, no scratches, battery life is v good",0.4939,Positive,2023-11-20
32,3,It’s decent the edges are a little scratched up and the battery isn’t the best but it’s good for the price!,0.7745,Positive,2023-03-02
33,3,"This is the last 5.4” screen that Apple has made. It is a great size, it offers improvements over my 12 mini. The phone arrived with 98% battery capacity & just one SLIGHT scratch on the camera protrusion. No big deal, most screen protectors come with a rear camera protector, which does cover it up.",0.6369,Positive,2023-05-27
34,1,"False advertising. This phone is not compatible with T-mobile. I took it to the store because it would not recognize my SIM card. At the TMobile store, they told me this is not a compatible TMobile phone! Waste of my time and money. Waiting for a refund.",-0.4753,Negative,2023-07-22
35,4,"Screen came with a few minor scratches, but the battery came @98% so not bad for what it is.",0.6361,Positive,2023-08-21
36,5,Buen estado del producto buen funcionamiento buena apariencia en fin excelente,0.0,Neutral,2023-04-19
37,1,The battery drains fast and the silent button doesn’t work and vibrate also not working,0.0,Neutral,2023-12-02
38,2,Like my old 6 IPhone ease of using so maybe if given a little time I can get used to it number 13 at 83yrs old maybe?????,0.7399,Positive,2023-08-07
39,4,el cargador que trajo el equipo no es original para ser un equipo que fue reacondicionado,0.0258,Neutral,2023-08-09
40,5,"I ordered a renewed (not renewed premium) iPhone 12 64GB Green in excellent condition from the seller ""supplytronics"". The iPhone arrived in a small cardboard box with a white supplytronics branded box inside. The phone was very well protected, and came with an Apple original charging cable and a sim removal tool, but no power brick. The device arrived with 0% battery. The phone looks completely brand new with no scuffs or marks, and it has 83% battery health. I'm extremely satisfied. There's no risk involved either. Amazon has a return window if the phone is damaged or if you don't like it, and supplytronics gave me a small card in the box saying they have a 90 day warranty.",-0.6798,Negative,2023-02-08
41,2,Una sorpresa súper desagradable. El teléfono estaba todo golpeado y escarapelado. Pantalla con un rayón batería 82 mala adquision.,0.0,Neutral,2023-01-26
42,3,The phone arrived in great condition and sooner than expected. Unfortunately it was not fully unlocked so we couldn't use it with our carrier. The phone was returned and the refund processed.,0.4019,Positive,2023-04-27
43,5,"Got the Iphone 12 in three days, as promised. Phone was in very good shape, no scratches or dents (described by seller as in excellent condition), battery at 90% health.  I expect no problems. Overall good experience and good seller.",0.8462,Positive,2023-05-12
44,1,Phone not workin. All I could see was a green screen :(,-0.4404,Negative,2023-06-16
45,4,this product was really good.,0.4927,Positive,2023-07-23
46,1,My phone was blacklisted couldn't use it Waiting a week to get a refund amazon sucks,-0.2023,Negative,2023-09-25
47,5,Worth the purchase my daughter loved it .,0.7003,Positive,2023-11-24
48,4,I got this for my brother. Came perfectly delivered. No scratches or problems. I recommend buying,0.4215,Positive,2023-01-18
49,1,"The product arrived one week later the time announced. Because the customer services blocked my account, I had temporarily changed my delivery address.I had to have it shipped abroad, to my home where I had returned in the meantime.So at the end I spent $200 on the price and I have a phone that doesn't work well.Terrible customer experience",-0.2732,Negative,2023-04-03
50,3,Llegó con el bisel de la cámara muy maltratado y 94% de vida de batería.,0.0,Neutral,2023-10-16
51,2,"It is sold by ""Wireless superstore"" and ship by Amazon so I believe the product description and give it a try. Once got the phone , unpack and make inspection, already find over 3 scratches are clearly visible on the screen, one of them even has over 1inch long. Use my finger nail can easily feel the depth of the scratches.  Fortunately the side and back just have some minor scratches and looks good. Battery health is 92%, and speakers/camera/mic/charging are in functional condition. The phone is Unlocked.If you expect ""Good"" condition option will ship you a screen scratch-free iPhone, sorry you will end up really disappointed.",0.6133,Positive,2023-12-26
52,5,Works and looks as described,0.0,Neutral,2023-02-04
53,2,Like my old 6 IPhone ease of using so maybe if given a little time I can get used to it number 13 at 83yrs old maybe?????,0.7399,Positive,2023-02-10
54,3,"So far it seems ok, but the phone was very dirty it was disgusting.The charger isn’t original and it gets pretty hot so I won’t be using it. I haven’t finished set it up so not sure if there could be any issues.",0.1779,Positive,2023-11-23
55,1,No me gustó,-0.296,Negative,2023-02-11
56,2,El celular llega con la pantalla rayada y tiene dos golpe laterales fuertes de caída.  Que dañan la estética del iPhone.,0.0,Neutral,2023-07-29
57,3,"This is a quick intro to Apple Iphones for seniors or newcomers. However, this booklet is lacking so much more information.  i wish I had taken the time to do more research!",0.5057,Positive,2023-01-07
58,4,"The Iphone 11 pro max has helped make my life easy. I decided to get a new Iphone because my older one was outdated. The Iphone 11 pro max is a great investment due to its variety of uses in our everyday lives.  To begin, the Iphone 11 pro max is affordable to everyone. Secondly It comes in multiple color options such as space gray, rose gold, pink, and etc. The speaker of the Iphone 11 pro max compared to the regular Iphone 11 is far louder in volume, but you could make that assumption based on the size difference.  It also comes with a 3-zoom camera, allowing you to zoom in and out. Furthermore the camera allows you to capture pictures in different options for instance, single, burst or spread.  The speed of the phone is second to none so you don’t have to worry about too many tabs being opened at one time affecting the loading speed. Lastly the durability is far more impressive compared to older iphones allowing the phone to live up to its value. I experienced dropping my phone on the ground, in water, and even sand but the Iphone still remained intact.  The Iphone 11 pro max is a recommendation for everyone throughout the world to have due to its many haptics. There are many things to learn from t Investing in this phone will be great, allowing you to venture however you please.",0.9609,Positive,2023-03-15
59,1,Bought because I knew iPhone XR have a long battery range but the phone I got me with a bad battery that discharges fast. Next time I will bought from the Apple Store.,-0.6956,Negative,2023-07-14
60,3,Received the phone on the 9/9 worked great up into today 9/13. Phone powers on and off charger that was included with phone stoped working as well,0.7351,Positive,2023-05-28
61,4,"Overall, for a second hand it's in good condition, came lightly scratched and dirty in the crevices and charging port but it charges until 100. I transitioned from a Samsung so the battery power is less compared compared to that, but my friends all say iPhone are like that. but it's a good phone, works well, it's worth the money.",0.9403,Positive,2023-03-21
62,5,"Phone in practically perfect condition, just a small mark on the bottom but for the price paid, it was very good! I recommend the seller, fast delivery.",0.891,Positive,2023-04-25
63,5,El iphone 14 pro max vale la pena demasiado.,0.0,Neutral,2023-02-23
64,5,I don't use the fingerprint reader or the Face recognition feature.,0.0,Neutral,2023-07-06
65,5,I like everything about all the items I bought,0.3612,Positive,2023-09-03
66,1,I ordered this phone on March 23rd 2023 phone screen went black and never came back today Sept. 22 2023 literally lasted 6 months ! I had an otterbox on it and took great care of it. This phone should have lasted. Absolute rip off!,0.8353,Positive,2023-09-08
67,4,I didn’t mean to buy it but I took a look and it was good just the screen was a bit scratched but the price is worth it,0.7351,Positive,2023-05-29
68,5,been having it for 1 month and its worth it,0.2263,Positive,2023-11-10
69,5,"Item as described, very good shape, would buy from sellers again.",0.4927,Positive,2023-02-28
70,3,"This device arrived scratched up and chipped. The devices described in good condition are expected to have visible marks and signs of use, but there is no way this phone can be described as in good condition. This phone is acceptable at best. I was disappointed. I gave the phone to my son because he destroys phones anyway.",0.4019,Positive,2023-11-06
71,5,"I was really nervous about buying the phone because of certain reviews saying it wouldn’t be for their service or it’s stolen xyz. However  it works just like brand new phone there are no scratches or any damage to the phone. You are really paying for excellent condition and it’s what you get. I chose the AT&T service for my phone which is exactly what i got. It checks out at the AT&T store and all i can make calls and text with no issue. The battery came at 99% which is awesome it holds charge all day i only charge my phone one time. Overall this is a great consideration for a new phone and definitely worth the money you’ll put in. I’m beyond satisfied with my purchase. (the phone didn’t come with the accessories on the phone in the video, it came with a charging cord, charging box, and sim card remover)",0.8994,Positive,2023-01-17
72,3,"Then phone looks fine and performs well most of the time. But then it doesn't. e.g. it recently decided to treat incoming phone calls with a banner instead of a ring tone. I did had not changed any settings. I even opened settings and changed the setting back to audible from banner. The banner persisted.  The battery also behaves strangely once the charge falls below 75%.  I called customer support - a pale shadow of the robust customer support offered by Apple - a labyrinth of mindless recordings blathering, ""how can I help you today?"" - accomplishing nothing.  I wish I had paid the extra $100 or so and purchased my phone from Apple. (I own a Macbook Air and Apple support has been phenomenal.)",0.9226,Positive,2023-11-18
73,2,"Received the phone, worked great! Then I noticed I was not getting alerts regarding emails.  Looked at the phone and it was off. I didn't turn the phone off. Restated the phone and reviewing news on Goggle, phone shut down while reading an article. Restarted and contacted Samsung directly for info to correct issue and reviewed items on You Tube for possible solutions. Did a few updates and phone was ok for a couple of days. Again, reading an article phone shut down on it's own, No reason. Restarted again. This has been happening almost daily. One morning it happened 7 times in a roow. Ready to throw phone against the wall!",0.8353,Positive,2023-05-09
74,1,Exactly one year after purchasing it and the phone keeps restarting itself constantly.. turns out it is a fatal hardware issue that means you have to spend your hard earned money on buying a brand new one. Do not buy this product or stuff from Apple in general. They are a garbage company (I have owned pretty much every Apple product but this stops this year).,-0.3559,Negative,2023-09-02
75,4,I wanted to have a new iPhone but iPhone14 doesn’t have mini so I bought this. This is not new but almost new. I always bought phones from the cellular shop and asked to setup but I did it this time and it was pretty easy. Now I have a new phone that I love. Also it was sent quicker than expected to Hawai’i. Thanks.,0.9628,Positive,2023-09-24
76,5,"I've been using the iPhone 12 Pro Max for a few weeks now and I'm blown away by its performance. The camera is simply amazing, taking stunning photos and videos even in low light conditions. The 6.7-inch Super Retina XDR display is incredibly sharp and vibrant, making it a pleasure to watch movies and play games on. The battery life is also impressive, easily lasting me a full day with heavy usage.The design is sleek and elegant, with a premium feel that matches its price tag. The Ceramic Shield front cover provides added durability and peace of mind. The A14 Bionic chip is lightning fast, making multitasking and running demanding apps a breeze.Overall, I highly recommend the iPhone 12 Pro Max to anyone looking for the ultimate user experience on a smartphone. It's definitely worth the investment.When it comes to high-end smartphones, the iPhone 12 Pro Max is definitely a top contender. Its main competitors are the Samsung Galaxy S21 Ultra and the Google Pixel 5.In terms of camera performance, the iPhone 12 Pro Max and the Galaxy S21 Ultra are both excellent choices. The S21 Ultra has a slightly higher megapixel count and more advanced zoom capabilities, but the iPhone's software processing produces more natural-looking photos. The Pixel 5, on the other hand, has a great camera for its price range but can't quite match the other two in terms of sheer quality.When it comes to display, the iPhone 12 Pro Max and the Galaxy S21 Ultra both feature stunning OLED screens with high resolutions and refresh rates. The Pixel 5 has a good OLED display as well, but its resolution and refresh rate are lower than the other two.In terms of design and build quality, all three phones are well-made and feel premium in the hand. The iPhone 12 Pro Max has a sleek and elegant design with its flat edges and Ceramic Shield front cover. The Galaxy S21 Ultra has a more modern look with its curved edges and matte finish. The Pixel 5 has a simpler design with a plastic back that some may find less appealing.Overall, all three phones are great choices depending on your needs and preferences. The iPhone 12 Pro Max is the best choice for iOS users who want a premium smartphone with a great camera and display. The Galaxy S21 Ultra is the best choice for Android users who want a top-of-the-line phone with advanced camera features. The Pixel 5 is the best choice for those on a budget who still want a great camera and software experience.👇https://amzn.to/3OVqAdJ",0.9983,Positive,2023-12-21
77,1,"Ordered the first phone and it worked well for a few days until the phone stopped wired charging due to a false ""moisture detected error"". Waited and troubleshooted over a month and the issue still persisted. Amazon told me to return the phone and order a new one. Fine. Ordered a second one and this phone does not have that moisture detected issue but it arrived locked, not unlocked, and nobody at Amazon has a clue what to do. So now I'm stuck with two phones that don't work correctly and I'm forced to cancel the return I sent for the first phone I ordered because at least that phone can make and receive calls. I guess I'll have to order a third phone and convince Amazon to let me return the first and second phone or else I'm out 200 dollars through no fault of my own.Seller does not ensure they are sending out a product that works. Stay away.",-0.9016,Negative,2023-02-18
78,3,Teléfonos con rayones irrecuperables en pantalla.,0.0,Neutral,2023-08-14
79,4,"This is my third time buying this phone, it works well and works very well. It even came with a screen protector on there. The only difference with this one it that it has a little scrape on the camera. Other than that I am satisfied.",0.7184,Positive,2023-12-11
80,2,"The thing I dislike about this product is that when I received it I always check the battery health the battery health on this device is 73% the description states that it would be 80% I would not recommend this buyer. Also the screen has many scratches on it not deep scratches but, they are clearly visible and I ordered an excellent condition phone.",0.8045,Positive,2023-10-01
81,4,"Overall one of the best iPhones I have ever had. The last one of have the practical mini version and the cutest pastel pink color. However, avoid buying it from places like this one because you will never receive it.",0.8519,Positive,2023-02-15
82,1,I received a defective phone. I was unable to hear through the phone. It only worked on speaker mode. I had to pay the return shipping of $22. Can you believe this. Amazon and this company is wrong for this. To reach anyone is almost impossible.,-0.6625,Negative,2023-12-07
83,4,Phone works well by that I mean it has no discreet issues. Battery health came on 96 and overall I’m satisfied. One downside is the screen is actually raised and isn’t flush with the frame of the phone but that’s fine I’m able to fix it,0.3716,Positive,2023-02-22
84,5,Works and looks as described,0.0,Neutral,2023-09-05
85,4,I bought this in good condition and it looks really good and almost new . Ofc it has scratches here and there like on the side and the screen but barley noticeable . It looks just like if someone is using the phone but you won’t even notice it tbh especially with a screen protector.overall i like it so far as first impression. Battery health was at a 100% as well.def recommend!,0.9436,Positive,2023-11-16
86,2,"Battery life is significantly low the recommended 80 percent, I have no problem buying a new battery but for future costumers please take this into account when purchasing this phone",0.09,Positive,2023-05-20
87,1,"Another junk product by Samsung.Almost every app Freezes, Severe lack of customization, Images burn into the screen pretty quick.  It's 2023! screensavers should not be needed, but yet, Samsung still puts in an antique screen that gets images burned, into it, And still makes the entire phone out of glass so that it breaks every two seconds without a case And still refuses to put a headphone jack.We'll be returning this phone asap.",-0.1759,Negative,2023-01-20
88,1,No phone was received based on pictures and videos phone seems ok but the seller is very disappointed,-0.6798,Negative,2023-01-15
89,5,If you are happy with an 8. Just replace it with one of these,0.5719,Positive,2023-03-06
90,1,Stuck with a phone that has not worked properly since I took it out of the box!  Never again will I but a phone off of Amazon!!,0.3455,Positive,2023-05-19
91,4,"At first I was concerned because the phone was a day late, but at the end of the day it was worth it! No visible scratches or marks on the phone and it works great! Battery health was above 85% which is great, and I love the feel of the phone! Only downer was the fact that it was late, but aside from that it’s a 10/10 so far!!!",0.9675,Positive,2023-08-17
92,2,I had a big scratch in the middle of the screen and it got hot after I started using it,0.0,Neutral,2023-10-22
93,1,"The product came defective, the screen had black lines and did not look good. Shipping is not fast and on top of that you have to wait for the seller to approve the return, after he receives the cell phone and then they return your money. Very risky, in this whole process something always goes wrong.",-0.8271,Negative,2023-02-03
94,3,"Jesus.... the amazon deliverer had a bad day I think and I might have to return this because he just tossed the box and it landed sideways!Amazon really needs to hire new people who WILL do their job right.It seems I lucked out even IF the Amazon driver was a a hole... the battery life seems to be great for a refurbished device and the touchscreen functions like a brand new phone. Setting up took less than 2 mins now one thing to note, I bought this phone primarily to use for my starsense telescope and to utilize the starsense explorer app but thats a whole different topic. This Iphone is in excellent condition though the packaging I really have to rate 2 and a half stars as there was barely any cushioning to protect the phone from any harsh movement AND of course angry ""amazon"" drivas*ers but currently am convinced I do have a working phone. 👌 However, im still wanting to punch that amazon driver.",0.8671,Positive,2023-02-02
95,5,"I just received my package today. So far so good! It didn’t came in an apple box not that it matters. The seller is legit. So if you’re second guessing here is some reassurance. I bought excellent condition because I wanted really good quality. It came with no scratches, sound quality is good, battery percentage was at 100% that was my absolute favorite. Setting up my new phone was not difficult at all. Everything is good so far hopefully I have no issues later on.",0.9806,Positive,2023-08-02
96,1,Decepcionante que espere tanto por el celular y al momento de intentar usar viene bloqueado.,0.0,Neutral,2023-03-08
97,5,"The shipping was fast, when it came it look brand new, but the batter life is at 97%. over all It is great for the money your saving.",0.7684,Positive,2023-06-20
98,4,"Can with a few knicks on the shell and an almost microscopic chip on the glass. But practically unseeable after I put a case on it. And the battery is at 89% capacity which is great. Plus, I saved $255 dollars compared to getting a refurbished one from apple.",0.8847,Positive,2023-10-10
99,2,"Vino un poco astillado a los lados pero no se ve a simple vista, hay que acercarse, y el micrófono no funciona bien",-0.5267,Negative,2023-10-06
100,2,"Even though this is a good phone,  it is too small for me to be able to use it.",0.4404,Positive,2023-02-17
101,4,"I bought the phone in excellent condition. I am very disappointed my battery life is at 90% while all the reviews I saw came in at over this, and most at 100%. I will be testing the phone to see if it hold a decent charge over the next week and if I have any glitches. If I have any further issues I will most likely return. The phone is also a little dirty, nothing too major though.",-0.3182,Negative,2023-09-19
102,5,I ordered like new when it was only $495 and it came with zero scratches or dents and 100% battery health!! Worth the buy.,0.6103,Positive,2023-02-06
103,2,Phone arrived in fairly good condition but I noticed the screen ( especially area around the earpiece) was warped. Not a week after setting up did the Face ID stop working. I am in the process of returning the phone.,-0.2144,Negative,2023-08-16
104,5,"Phone is very nice, works perfectly, the price is right. It was refurbished and in perfect new condition. I highly recommend...",0.9053,Positive,2023-06-12
105,2,"Camera is wonky, won’t focus- everything’s blurry and the whole phone shakes when you try to take a picture. Calling is terrible, I can only hear 40% of conversations on this phone cause it cuts everything out, mic mutes randomly during calls.",-0.6908,Negative,2023-01-12
106,5,"I bought this Iphone 13 128gb in green about 2-3 months ago after having a Samsung Galaxy S10 since it was released. Switching OS took time to get used to, but this being my first Iphone, the impression is good.As for purchasing through this seller, the experience was good. Shipping was fast and the phone came in a brandless phone box, including a charger and cord. There was also zero physical damage to the phone and the battery health was 99% out of the box.",0.2263,Positive,2023-11-11
107,2,phone was locked,0.0,Neutral,2023-11-13
108,3,I bought two used white IPhone 12’s and one of them you can’t use any of the apps on the top part of the screen. The top part of the screen won’t respond to touch. I reached out them for an exchange and they want me ship it back and wanted me to pay for the shipping. The other IPhone 12 works perfectly.,0.7964,Positive,2023-07-05
109,1,Phone is in overall great condition bubI wasn’t able to activate phone because it was reported lost/stolen. Customer service is non existent. Stay away.,0.6249,Positive,2023-03-17
110,5,Worked like a new phone.  Very Happy,0.7574,Positive,2023-12-29
111,3,"The phone does work there were no scratches and you are able to text. HOWEVER, Calls are terrible. It sounds like the phone was dropped in water. I have to put the phone on speaker and hold it close to my ear to have a regular sounding conversation and that is not ok nor “good” condition if it can’t do the basic functions.",-0.5702,Negative,2023-07-13
112,4,Phone works good but the battery is not the best capacity.,-0.5577,Negative,2023-11-04
113,1,IT DIDNT TURN ON OR  WORK AT ALL,0.0,Neutral,2023-07-15
114,4,"I bought the ""good"" condition model as a non-cracked screen was very important to me but the body being scratched was not a big deal. The product information says the phone should have been well cleaned, the screen has no scratches, and the body shows light scratches barely visible from 12 inches away. The phone was dirty with visible grime that my cursory wipe with an electronics swab easily picked up, it was clearly not cleaned. The phone body was more than a little scratched. It looks like it got swiped hard on the right facing edge on concrete. You can see the exposed aluminum from far away as the color difference is noticeable from the blue color I got. This is not a big deal to me as it's going to be in a case that would hopefully cover that. The screen has clearly been replaced. The screen also has a pressure glare in the upper section that is visible with some backgrounds. The screen being replaced is annoying as the notification for an unknown part can't be dismissed, so you always have a red notification visible when you look at the settings icon. Overall I would not gift it to others but for the price in comparison to other places was still good. It was also missing the charging block that the info said it was supposed to include along with the cable. I knew that I might not get the best when I opted for a ""good"" phone over an ""excellent"" condition one. Maybe I should have just spend the extra $44 dollars and got the excellent condition one. For now I am content with my purchase as most of my complaints are ""cosmetic"" issues for me.",-0.7551,Negative,2023-06-17
115,3,The phone work perfectly but my phone came in with some cracks and scratches and every time I close my phone like power it off a green thing is in the middle of it but it still works perfectly fine I wish I knew there was going to be cracks on my new phone,0.9545,Positive,2023-11-15
116,1,Didn’t come with a good charger and the screen protector sucks,0.1027,Positive,2023-02-19
117,2,Speaker didn’t work had to return,0.0,Neutral,2023-04-08
118,5,Definitely a learning curve going from an android to an iPhone. That said I do like it so far. It is an XR & it has proven worth it. Buying a network unlocked cell of any kind allows you to go to any ISP. Grateful to Amazon & Seller for that reason alone!,0.9098,Positive,2023-01-06
119,1,"I have to return it, which I'm really sad about.",-0.5256,Negative,2023-08-26
120,1,Decepcionante que espere tanto por el celular y al momento de intentar usar viene bloqueado.,0.0,Neutral,2023-09-21
121,3,Phone shown as refurbished. No visible signs of scratches.The battery life came at 88 percentage.,-0.296,Negative,2023-02-21
122,2,"The iPhone overall was in great shape and shipped fast, but they sent a locked phone and the carrier was AT&T, not what the listing had said (unlocked/Verizon). The seller didn’t help in correcting my order, luckily I can return.",0.8898,Positive,2023-09-14
123,2,Phone screen was scratched pretty bad. Very disappointing for how much we paid.,-0.5849,Negative,2023-06-22
124,1,This phone locked my verizon account after i tried hooking it up. The phone came back to their fraud department as lost or stolen and I have been dealing with this headache for over a week now. I sent the phone back in an they have the AUDACITY to claim i sent it back blacklisted and are refusing my refund.,-0.9001,Negative,2023-05-10
125,5,"this is probably one of the most useful purchases i’ve ever done, the phone had no damage at all to it and it was charged 100%, the camera is so much better when u go to settings and put it on 4k the only downsides is the charger it stopped workin after a month but that’s ok i just bought a new one. 🥲",0.3476,Positive,2023-11-30
126,1,"Ok so I recently bought this phone for excellent condition and it came with a few tiny scuffs on the screen and back glass, there were scratches on the bottom of the frame, I didn't really mind since I'll use a phone case, but then I realized that the screen was popping out a teeny tiny bit, when I push it in, it comes back out, I have no idea what's wrong, i don't know if the battery is inflating, but then later on while using the phone, the screen goes white and green, it's somewhat transparent but this has pissed me off so hopefully i get a full refund after returning it.",-0.7238,Negative,2023-04-23
127,2,"The device came as described. I was no longer needing it. The restocking fee was quite expensive taking into consideration that I sent the device back just as it came and it is a phone, no crane was needed to put it back on the shelf.",-0.5267,Negative,2023-12-04
128,5,"This is as good as a ‘factory fresh’ new iPhone for significantly less money. The phone has no visible scratches or marring, works as well as a new iPhone, and the battery was 98% usable. Great deal.",0.7845,Positive,2023-02-05
129,3,Received the phone with the Mic and the Cellular issues and returned it back. Will see whether the good phone will be provided or not in order to order another phone.No issues with other parts of the phone.,0.4404,Positive,2023-12-08
130,4,"Can with a few knicks on the shell and an almost microscopic chip on the glass. But practically unseeable after I put a case on it. And the battery is at 89% capacity which is great. Plus, I saved $255 dollars compared to getting a refurbished one from apple.",0.8847,Positive,2023-04-21
131,2,I cant understan why apple is so greedy they dont allow you to extend memory. Which makes this phone obsolete!,-0.6651,Negative,2023-07-03
132,3,Llegó con el bisel de la cámara muy maltratado y 94% de vida de batería.,0.0,Neutral,2023-02-25
133,3,The screen came with a red dot from a blow. It also has scratches on the side,0.0,Neutral,2023-06-11
134,3,"this is supposed to be ""renewed"" then why does the battery only have 98%. Misleading ad beware.",-0.4019,Negative,2023-01-03
135,2,"Immediately had to return because of retained images from the previous owner.  The back was trying to come off as well..I see others had very good luck,  I did not. I however sent it back and simply got my refund in the bank.",0.763,Positive,2023-03-31
136,1,"Before I purchase the iPhone I select the T- mobile option for carrier, but when I received the phone, it has been couple hours, that I can’t get through, it’s locked despite the fact that I picked the T-carrier.Finally I end up buying a new IPhone 14, and Will return the one I bought here tomorrow.",0.0,Neutral,2023-08-08
137,2,Está maltratado de su pantalla con rallas por doquierSus cámaras ralladas no lo recomiendo,-0.296,Negative,2023-01-25
138,4,"I would say it came as very good/good condition because the ringer does not work (alarms weren't waking me up), 90% battery capacity remaining, and the little scratches to the paint, around the edges, other than that stuff, very good condition, however I expected something like 94/95% or above battery life and a working ringer for ""Excellent Condition"" so I will be refunding this purchase, wanted to return and exchange but it is not available.",0.6365,Positive,2023-12-01
